baseline,lang,lt,rar,le,seed,em_f1,precision,recall,tp,fp,fn,n_docs
encoder_crf,en,5,0.0,5,42,0.0245,0.0281,0.0217,15,518,675,200
encoder_crf,en,5,0.0,0,42,0.0291,0.0417,0.0223,18,414,788,200
encoder_crf,en,5,0.2,5,42,0.0539,0.0558,0.0520,37,626,674,200
encoder_crf,en,5,0.2,0,42,0.0410,0.0501,0.0347,28,531,778,200
encoder_crf,en,5,0.4,5,42,0.0749,0.0770,0.0730,54,647,686,200
encoder_crf,en,5,0.4,0,42,0.1021,0.1149,0.0918,74,570,732,200
encoder_crf,en,5,0.6,5,42,0.1115,0.1134,0.1096,83,649,674,200
encoder_crf,en,5,0.6,0,42,0.2021,0.2114,0.1935,156,582,650,200
encoder_crf,en,5,0.8,5,42,0.1384,0.1355,0.1414,110,702,668,200
encoder_crf,en,5,0.8,0,42,0.2044,0.1984,0.2109,170,687,636,200
encoder_crf,en,5,1.0,5,42,0.2506,0.2298,0.2754,222,744,584,200
encoder_crf,en,5,1.0,0,42,0.2777,0.2505,0.3114,251,751,555,200
gpt-4o,zh,NA,NA,0,0,0.5592158486392794,0.5588874320124321,0.6027797619047619,,,,200
gpt-4o,zh,NA,NA,1,0,0.5595520256201932,0.5591192141192142,0.6046980519480519,,,,200
gpt-4o,zh,NA,NA,2,0,0.561456394436791,0.5583021581102077,0.6102056277056278,,,,200
gpt-4o,zh,NA,NA,3,0,0.5441925891979272,0.5415161872441285,0.590344155844156,,,,200
gpt-4o,zh,NA,NA,4,0,0.5246662069727087,0.5168843703810808,0.5700982966309054,,,,200
gpt-4o,zh,NA,NA,5,0,0.5243318900127691,0.5335015331890332,0.5545595238095238,,,,200
gpt-4o,en,NA,NA,0,0,0.010625,0.011666666666666665,0.010083333333333333,,,,200
gpt-4o,en,NA,NA,1,0,0.008958333333333332,0.008958333333333332,0.008958333333333332,,,,200
gpt-4o,en,NA,NA,2,0,0.014291666666666668,0.015714285714285715,0.013472222222222224,,,,200
gpt-4o,en,NA,NA,3,0,0.012817982456140352,0.013125,0.012621212121212122,,,,200
gpt-4o,en,NA,NA,4,0,0.007625,0.008333333333333333,0.007166666666666667,,,,200
gpt-4o,en,NA,NA,5,0,0.03359731423547213,0.03536706349206349,0.032505827505827506,,,,200
deepseek-v4-pro,zh,NA,NA,0,0,0.5206066208233571,0.496822483072483,0.5931066017316018,,,,200
deepseek-v4-pro,zh,NA,NA,1,0,0.5395721176827988,0.5178754509379511,0.6144058441558442,,,,200
deepseek-v4-pro,zh,NA,NA,2,0,0.5259513189768609,0.5010686327561328,0.6058095238095238,,,,200
deepseek-v4-pro,zh,NA,NA,3,0,0.5130719245577222,0.5011967468805704,0.582154761904762,,,,200
deepseek-v4-pro,zh,NA,NA,4,0,0.5184794877707956,0.5050601343101344,0.59,,,,200
deepseek-v4-pro,zh,NA,NA,5,0,0.5156594532918064,0.4982861721611723,0.5791190476190476,,,,200
deepseek-v4-pro,en,NA,NA,0,0,0.06,0.06,0.06,,,,200
deepseek-v4-pro,en,NA,NA,1,0,0.06205357142857142,0.061964285714285715,0.06222222222222222,,,,200
deepseek-v4-pro,en,NA,NA,2,0,0.060476190476190475,0.06055555555555556,0.06041666666666667,,,,200
deepseek-v4-pro,en,NA,NA,3,0,0.06,0.06,0.06,,,,200
deepseek-v4-pro,en,NA,NA,4,0,0.060625,0.060833333333333336,0.0605,,,,200
deepseek-v4-pro,en,NA,NA,5,0,0.06729166666666667,0.06738095238095237,0.06722222222222222,,,,200
qwen3-8b,zh,NA,NA,0,0,0.5641109176770943,0.5980988455988456,0.5777348484848485,,,,200
qwen3-8b,zh,NA,NA,1,0,0.5563957987119753,0.5882287157287158,0.5726904761904762,,,,200
qwen3-8b,zh,NA,NA,2,0,0.5623793151954919,0.5978551587301587,0.5792478354978354,,,,200
qwen3-8b,zh,NA,NA,3,0,0.5586793361425717,0.5892539543789543,0.5779004329004328,,,,200
qwen3-8b,zh,NA,NA,4,0,0.5329183481599691,0.5593782467532467,0.548170007528703,,,,200
qwen3-8b,zh,NA,NA,5,0,0.5113892125918981,0.5359863816738816,0.5256580086580087,,,,200
qwen3-8b,en,NA,NA,0,0,0.04195488721804511,0.041875,0.04212121212121212,,,,200
qwen3-8b,en,NA,NA,1,0,0.04,0.04,0.04,,,,200
qwen3-8b,en,NA,NA,2,0,0.05833333333333334,0.05833333333333334,0.05833333333333334,,,,200
qwen3-8b,en,NA,NA,3,0,0.05719298245614035,0.05729166666666666,0.05712121212121212,,,,200
qwen3-8b,en,NA,NA,4,0,0.04,0.04,0.04,,,,200
qwen3-8b,en,NA,NA,5,0,0.05,0.05,0.05,,,,200
encoder_crf_best,zh,2,1.0,0,42,0.7153,0.7046,0.7264,446,187,168,200
encoder_crf_best,zh,2,1.0,1,42,0.7090,0.6989,0.7194,441,190,172,200
encoder_crf_best,zh,2,1.0,2,42,0.7083,0.6950,0.7222,442,194,170,200
encoder_crf_best,zh,2,1.0,3,42,0.6947,0.6858,0.7038,430,197,181,200
encoder_crf_best,zh,2,1.0,4,42,0.6962,0.6850,0.7078,424,195,175,200
encoder_crf_best,zh,2,1.0,5,42,0.6546,0.6476,0.6617,397,216,203,200
encoder_crf_best,en,1,1.0,0,42,0.4952,0.4311,0.5819,469,619,337,200
encoder_crf_best,en,1,1.0,1,42,0.4773,0.4196,0.5533,446,617,360,200
encoder_crf_best,en,1,1.0,2,42,0.4461,0.3928,0.5161,416,643,390,200
encoder_crf_best,en,1,1.0,3,42,0.4139,0.3719,0.4665,376,635,430,200
encoder_crf_best,en,1,1.0,4,42,0.3133,0.2879,0.3437,277,685,529,200
encoder_crf_best,en,1,1.0,5,42,0.2862,0.2675,0.3077,248,679,558,200
